timestamp,cell_id,predicted_traffic_load_mbps_next,suggested_resource_multiplier
2026-03-05 08:00:00+00:00,101,138.83266666666674,0.6726975543732846
2026-03-05 08:05:00+00:00,101,138.83266666666674,0.6726975543732846
2026-03-05 08:10:00+00:00,101,141.93833333333325,0.687745701337005
2026-03-05 08:15:00+00:00,101,149.1096666666671,0.7224935637151866
2026-03-05 08:20:00+00:00,101,157.96999999999957,0.7654252793363769
2026-03-05 08:25:00+00:00,101,164.03499999999931,0.7948125321006672
2026-03-05 08:30:00+00:00,101,170.69100000000043,0.8270634066924492
2026-03-05 08:35:00+00:00,101,176.52100000000064,0.8553119942630717
2026-03-05 08:40:00+00:00,101,176.98233333333337,0.8575473313241174
2026-03-05 08:45:00+00:00,101,181.67833333333292,0.8803012536623037
2026-03-05 08:50:00+00:00,101,193.99366666666583,0.9399737703223465
2026-03-05 08:55:00+00:00,101,198.93133333333387,0.9638986604128973
2026-03-05 09:00:00+00:00,101,203.8400000000007,0.9876830343731596
2026-03-05 09:05:00+00:00,101,205.81633333333374,0.9972591278955262
2026-03-05 09:10:00+00:00,101,206.38199999999927,1.0
2026-03-05 09:15:00+00:00,101,205.41066666666586,0.995293517199497
2026-03-05 09:20:00+00:00,101,204.7996666666659,0.9923329876959552
2026-03-05 09:25:00+00:00,101,204.82066666666648,0.992434740755818
2026-03-05 09:30:00+00:00,101,195.76433333333352,0.9485533299092664
2026-03-05 09:35:00+00:00,101,188.9276666666658,0.915427055977103
2026-03-05 09:40:00+00:00,101,178.9503333333332,0.8670830466481274
2026-03-05 09:45:00+00:00,101,169.66866666666635,0.8221098093179975
2026-03-05 09:50:00+00:00,101,159.8713333333334,0.7746379690735334
2026-03-05 09:55:00+00:00,101,154.6626666666665,0.7493999799724155
